time,open,high,low,close,Vol,UpVol,DnVol
2026-01-05T01:50,104.65,104.71,104.39,104.39,8,0,8
2026-01-05T01:51,104.19,104.42,103.83,104.02,1,0,1
2026-01-05T01:52,104.87,104.9,104.83,104.82,1,0,1
2026-01-05T01:53,105.89,106.14,105.66,105.63,4,0,4
2026-01-05T01:54,104.1,104.19,103.88,103.88,4,0,4
2026-01-05T01:55,104.29,104.34,104.17,104.48,1,1,0
2026-01-05T01:56,104.21,104.44,104.13,103.97,1,0,1
2026-01-05T01:57,105.13,105.38,104.93,105.15,3,3,0
2026-01-05T01:58,104.93,105.3,104.79,104.78,1,0,1
2026-01-05T01:59,105.4,125.50,105.17,105.42,9,9,0
2026-01-05T02:00,105.22,105.25,105.02,105.02,40,0,0
2026-01-05T02:01,104.84,105.22,104.81,104.87,3,3,0
2026-01-05T02:02,104.68,104.82,104.48,104.86,1,1,0
2026-01-05T02:03,105.68,106.06,105.49,105.78,0,0,0
2026-01-05T02:04,105.46,105.58,105.23,105.57,5,5,0
2026-01-05T02:05,104.57,104.72,104.3,104.28,5,0,5
2026-01-05T02:06,104.71,104.95,104.51,104.54,2,0,2
2026-01-05T02:07,104.26,104.36,104.1,104.48,1,1,0
2026-01-05T02:08,104.33,104.49,104.22,104.11,4,0,4
2026-01-05T02:09,105.73,105.84,105.56,105.65,4,0,4
2026-01-05T02:10,105.92,105.98,105.85,105.76,2,0,2
2026-01-05T02:11,104.02,104.35,103.95,103.89,1,0,1
2026-01-05T02:12,104.84,104.99,104.61,105.11,8,8,0
2026-01-05T02:13,105.9,106.16,105.6,105.87,8,0,8
2026-01-05T02:14,104.78,104.94,104.74,104.86,0,0,0
2026-01-05T02:15,104.38,104.77,104.2,104.15,0,0,0
2026-01-05T02:16,104.2,104.43,103.99,104.47,0,0,0
2026-01-05T02:17,104.14,104.22,103.99,104.22,3,3,0
2026-01-05T02:18,105.2,105.39,105.15,105.19,5,0,5
2026-01-05T02:19,104.96,105.08,104.9,105.11,2,2,0
2026-01-05T02:20,104.96,105.24,104.75,104.78,8,0,8
2026-01-05T02:21,104.72,105.0,104.35,104.87,2,2,0
2026-01-05T02:22,105.96,106.31,105.68,105.82,3,0,3
2026-01-05T02:23,105.82,105.96,105.73,105.84,8,8,0
2026-01-05T02:24,104.66,104.75,104.34,104.95,2,2,0
2026-01-05T02:25,105.61,105.94,105.31,105.45,8,0,8
2026-01-05T02:26,104.99,105.28,104.59,105.16,5,5,0
2026-01-05T02:27,104.52,104.8,104.14,104.49,3,0,3
2026-01-05T02:28,105.91,106.06,105.82,105.75,2,0,2
2026-01-05T02:29,104.68,104.87,104.29,104.75,0,0,0
2026-01-05T02:30,104.96,105.22,104.64,104.71,1,0,1
2026-01-05T02:31,105.82,106.13,105.52,105.81,1,0,1
2026-01-05T02:32,104.87,105.12,104.84,105.14,4,4,0
2026-01-05T02:33,104.93,105.23,104.9,104.73,1,0,1
2026-01-05T02:34,104.06,104.3,103.87,104.15,5,5,0
2026-01-05T02:35,105.31,105.45,105.09,105.09,0,0,0
2026-01-05T02:36,105.6,105.89,105.56,105.75,1,1,0
2026-01-05T02:37,104.87,105.22,104.54,104.7,40,40,0
2026-01-05T02:38,104.48,104.71,104.38,104.43,1,0,1
2026-01-05T02:39,104.12,104.42,103.76,104.22,8,8,0
2026-01-05T02:40,104.84,105.21,104.64,104.86,8,8,0
2026-01-05T02:41,105.02,105.37,104.71,105.09,1,1,0
